Manuscript date|First main dir|Second main dir|The rest of main dirs|Filename|Use count (%)
2013|texmf-dist|fonts|map/fontname|texfonts.map|16.316
2014|texmf-dist|fonts|map/fontname|texfonts.map|15.350
2015|texmf-dist|fonts|map/fontname|texfonts.map|14.431
2013|texmf-dist|tex|latex/amsfonts|amsfonts.sty|14.423
2013|texmf-dist|fonts|tfm/public/amsfonts/symbols|msbm10.tfm|14.302
2013|texmf-dist|fonts|tfm/public/amsfonts/symbols|msam10.tfm|14.253
2013|texmf-dist|fonts|tfm/public/cm|cmmi6.tfm|14.239
2013|texmf-dist|fonts|tfm/public/cm|cmsy6.tfm|14.221
2013|texmf-dist|fonts|tfm/public/cm|cmr6.tfm|14.183
2011|texmf-dist|fonts|map/fontname|texfonts.map|14.137
2013|texmf-dist|fonts|tfm/public/cm|cmr8.tfm|14.130
2014|texmf-dist|tex|latex/amsfonts|amsfonts.sty|14.105
2013|texmf-dist|fonts|tfm/public/cm|cmmi8.tfm|13.979
2013|texmf-dist|fonts|tfm/public/cm|cmsy8.tfm|13.974
2014|texmf-dist|fonts|tfm/public/amsfonts/symbols|msbm10.tfm|13.955
2014|texmf-dist|fonts|tfm/public/amsfonts/symbols|msam10.tfm|13.922
2013|texmf-dist|tex|latex/amsfonts|umsa.fd|13.870
2013|texmf-dist|fonts|tfm/public/amsfonts/symbols|msbm7.tfm|13.865
2013|texmf-dist|fonts|tfm/public/amsfonts/symbols|msam7.tfm|13.854
2013|texmf-dist|tex|latex/amsfonts|umsb.fd|13.805
2010|texmf-dist|fonts|map/fontname|texfonts.map|13.801
2014|texmf-dist|tex|latex/amsfonts|umsa.fd|13.741
2014|texmf-dist|fonts|tfm/public/amsfonts/symbols|msbm7.tfm|13.710
2014|texmf-dist|fonts|tfm/public/amsfonts/symbols|msam7.tfm|13.706
2014|texmf-dist|tex|latex/amsfonts|umsb.fd|13.668
2013|texmf-var|web2c|pdftex|latex.fmt|13.554
2013|texmf-dist|tex|latex/amsfonts|amssymb.sty|13.445
2012|texmf-dist|fonts|map/fontname|texfonts.map|13.388
2015|texmf-dist|tex|latex/amsfonts|amsfonts.sty|13.326
2014|texmf-dist|tex|latex/amsfonts|amssymb.sty|13.282
2014|texmf-dist|fonts|tfm/public/cm|cmr8.tfm|13.226
2014|texmf-dist|fonts|tfm/public/cm|cmmi6.tfm|13.198
2014|texmf-dist|fonts|tfm/public/cm|cmr6.tfm|13.192
2014|texmf-dist|fonts|tfm/public/cm|cmsy6.tfm|13.148
2015|texmf-dist|fonts|tfm/public/amsfonts/symbols|msbm10.tfm|13.133
2015|texmf-dist|fonts|tfm/public/amsfonts/symbols|msam10.tfm|13.112
2014|texmf-dist|fonts|tfm/public/cm|cmmi8.tfm|13.105
2014|texmf-dist|tex|latex/amsmath|amsgen.sty|13.071
2013|texmf-dist|tex|latex/amsmath|amsgen.sty|13.067
2014|texmf-dist|fonts|tfm/public/cm|cmsy8.tfm|13.065
2014|texmf-dist|tex|latex/amsmath|amsbsy.sty|13.024
2014|texmf-dist|tex|latex/amsmath|amstext.sty|13.023
2013|texmf-dist|tex|latex/amsmath|amsbsy.sty|13.005
2015|texmf-dist|tex|latex/amsfonts|umsa.fd|13.004
2014|texmf-dist|tex|latex/amsmath|amsopn.sty|13.002
2014|texmf-dist|tex|latex/amsmath|amsmath.sty|12.999
2013|texmf-dist|tex|latex/amsmath|amstext.sty|12.995
2013|texmf-dist|tex|latex/amsmath|amsopn.sty|12.971
2013|texmf-dist|fonts|tfm/public/amsfonts/cmextra|cmex7.tfm|12.970
2013|texmf-dist|tex|latex/amsmath|amsmath.sty|12.970
2015|texmf-dist|fonts|tfm/public/amsfonts/symbols|msbm7.tfm|12.956
2013|texmf-dist|tex|latex/graphics|keyval.sty|12.956
2015|texmf-dist|fonts|tfm/public/amsfonts/symbols|msam7.tfm|12.953
2015|texmf-dist|tex|latex/amsfonts|umsb.fd|12.930
2014|texmf-dist|fonts|tfm/public/amsfonts/symbols|msbm5.tfm|12.913
2013|texmf-dist|fonts|tfm/public/amsfonts/symbols|msbm5.tfm|12.908
2014|texmf-dist|fonts|tfm/public/amsfonts/symbols|msam5.tfm|12.906
2013|texmf-dist|fonts|tfm/public/amsfonts/symbols|msam5.tfm|12.895
2011|texmf-dist|fonts|tfm/public/cm|cmsy6.tfm|12.828
2011|texmf-dist|fonts|tfm/public/cm|cmmi6.tfm|12.827
2011|texmf-dist|fonts|tfm/public/cm|cmr6.tfm|12.762
2015|texmf-dist|fonts|tfm/public/cm|cmr8.tfm|12.743
2015|texmf-dist|tex|latex/amsmath|amsgen.sty|12.696
2015|texmf-dist|tex|latex/amsmath|amstext.sty|12.663
2015|texmf-dist|tex|latex/amsmath|amsbsy.sty|12.633
2015|texmf-dist|tex|latex/amsmath|amsopn.sty|12.627
2015|texmf-dist|fonts|tfm/public/cm|cmmi8.tfm|12.624
2015|texmf-dist|fonts|tfm/public/cm|cmmi6.tfm|12.619
2015|texmf-dist|tex|latex/amsmath|amsmath.sty|12.619
2015|texmf-dist|fonts|tfm/public/cm|cmr6.tfm|12.615
2015|texmf-dist|fonts|tfm/public/cm|cmsy8.tfm|12.582
2014|texmf-dist|tex|latex/graphics|keyval.sty|12.578
2015|texmf-dist|fonts|tfm/public/cm|cmsy6.tfm|12.571
2010|texmf-dist|fonts|tfm/public/cm|cmsy6.tfm|12.569
2015|texmf-dist|tex|latex/amsfonts|amssymb.sty|12.563
2010|texmf-dist|fonts|tfm/public/cm|cmmi6.tfm|12.562
2010|texmf-dist|fonts|tfm/public/cm|cmr6.tfm|12.494
2014|texmf-var|web2c|pdftex|latex.fmt|12.445
2011|texmf-dist|fonts|tfm/public/cm|cmr8.tfm|12.434
2014|texmf-dist|fonts|tfm/public/amsfonts/cmextra|cmex7.tfm|12.429
2013|texmf-dist|tex|latex/graphics|trig.sty|12.384
2013|texmf-dist|fonts|tfm/public/cm|cmr12.tfm|12.372
2013|texmf-dist|tex|latex/graphics|graphics.sty|12.372
2013|texmf-dist|fonts|tfm/public/amsfonts/cmextra|cmex8.tfm|12.300
2011|texmf-var|web2c|pdftex|latex.fmt|12.293
2015|texmf-dist|fonts|tfm/public/amsfonts/symbols|msbm5.tfm|12.282
2015|texmf-dist|fonts|tfm/public/amsfonts/symbols|msam5.tfm|12.275
2011|texmf-dist|fonts|tfm/public/cm|cmsy8.tfm|12.262
2011|texmf-dist|fonts|tfm/public/cm|cmmi8.tfm|12.258
2013|texmf-dist|tex|latex/graphics|graphicx.sty|12.148
2010|texmf-dist|fonts|tfm/public/cm|cmr8.tfm|12.130
2015|texmf-dist|fonts|tfm/public/amsfonts/cmextra|cmex7.tfm|12.114
2015|texmf-dist|tex|latex/graphics|keyval.sty|12.035
2010|texmf-var|web2c|pdftex|latex.fmt|12.002
2014|texmf-dist|fonts|tfm/public/amsfonts/cmextra|cmex8.tfm|11.976
2010|texmf-dist|fonts|tfm/public/cm|cmsy8.tfm|11.963
2010|texmf-dist|fonts|tfm/public/cm|cmmi8.tfm|11.945
2011|texmf-dist|tex|latex/amsfonts|amsfonts.sty|11.934
2013|texmf-dist|fonts|tfm/public/cm|cmbx10.tfm|11.854
2011|texmf-dist|fonts|tfm/public/amsfonts/symbols|msbm10.tfm|11.841
2014|texmf-dist|tex|latex/graphics|trig.sty|11.832
2014|texmf-dist|tex|latex/graphics|graphics.sty|11.826
2012|texmf-dist|fonts|tfm/public/cm|cmmi6.tfm|11.807
2011|texmf-dist|fonts|tfm/public/amsfonts/symbols|msam10.tfm|11.804
2012|texmf-dist|fonts|tfm/public/cm|cmsy6.tfm|11.798
2012|texmf-dist|fonts|tfm/public/cm|cmr6.tfm|11.748
2015|texmf-dist|fonts|tfm/public/amsfonts/cmextra|cmex8.tfm|11.699
2014|texmf-dist|tex|latex/graphics|graphicx.sty|11.634
2011|texmf-dist|fonts|tfm/public/amsfonts/symbols|msbm7.tfm|11.577
2011|texmf-dist|tex|latex/amsfonts|umsa.fd|11.562
2011|texmf-dist|fonts|tfm/public/amsfonts/symbols|msam7.tfm|11.562
2012|texmf-dist|fonts|tfm/public/cm|cmr8.tfm|11.543
2011|texmf-dist|tex|latex/amsfonts|umsb.fd|11.533
2012|texmf-dist|tex|latex/amsfonts|amsfonts.sty|11.510
2016|texmf-dist|fonts|map/fontname|texfonts.map|11.475
2015|texmf-var|web2c|pdftex|latex.fmt|11.438
2012|texmf-dist|fonts|tfm/public/amsfonts/symbols|msbm10.tfm|11.411
2012|texmf-dist|fonts|tfm/public/cm|cmsy8.tfm|11.409
2012|texmf-dist|fonts|tfm/public/cm|cmmi8.tfm|11.407
2014|texmf-dist|fonts|tfm/public/cm|cmr12.tfm|11.391
2012|texmf-dist|fonts|tfm/public/amsfonts/symbols|msam10.tfm|11.372
2012|texmf-var|web2c|pdftex|latex.fmt|11.254
2011|texmf-dist|fonts|tfm/public/cm|cmr12.tfm|11.244
2010|texmf-dist|tex|latex/amsfonts|amsfonts.sty|11.224
2015|texmf-dist|tex|latex/graphics|trig.sty|11.205
2015|texmf-dist|tex|latex/graphics|graphics.sty|11.201
2010|texmf-dist|fonts|tfm/public/amsfonts/symbols|msbm10.tfm|11.150
2010|texmf-dist|fonts|tfm/public/cm|cmr12.tfm|11.142
2010|texmf-dist|fonts|tfm/public/amsfonts/symbols|msam10.tfm|11.104
2011|texmf-dist|tex|latex/amsfonts|amssymb.sty|11.097
2011|texmf-dist|fonts|tfm/public/amsfonts/cmextra|cmex7.tfm|11.082
2015|texmf-dist|tex|latex/graphics|graphicx.sty|11.013
2014|texmf-dist|fonts|tfm/public/cm|cmbx10.tfm|10.978
2011|texmf-dist|tex|latex/graphics|keyval.sty|10.962
2011|texmf-dist|tex|latex/amsmath|amsgen.sty|10.850
2010|texmf-dist|tex|latex/amsfonts|umsa.fd|10.849
2010|texmf-dist|fonts|tfm/public/amsfonts/symbols|msbm7.tfm|10.841
2010|texmf-dist|fonts|tfm/public/amsfonts/symbols|msam7.tfm|10.837
2012|texmf-dist|tex|latex/amsfonts|umsa.fd|10.815
2012|texmf-dist|fonts|tfm/public/amsfonts/symbols|msbm7.tfm|10.811
2011|texmf-dist|tex|latex/amsmath|amstext.sty|10.809
2012|texmf-dist|fonts|tfm/public/amsfonts/symbols|msam7.tfm|10.809
2010|texmf-dist|tex|latex/amsfonts|umsb.fd|10.805
2011|texmf-dist|tex|latex/amsmath|amsbsy.sty|10.788
2012|texmf-dist|tex|latex/amsfonts|umsb.fd|10.773
2014|texmf-dist|tex|latex/latexconfig|graphics.cfg|10.771
2011|texmf-dist|tex|latex/amsmath|amsopn.sty|10.769
2011|texmf-dist|tex|latex/amsmath|amsmath.sty|10.767
2012|texmf-dist|tex|latex/amsfonts|amssymb.sty|10.759
2015|texmf-dist|fonts|tfm/public/cm|cmbx10.tfm|10.751
2013|texmf-dist|tex|latex/latexconfig|graphics.cfg|10.747
2012|texmf-dist|tex|latex/graphics|keyval.sty|10.705
2016|texmf-dist|tex|latex/amsfonts|amsfonts.sty|10.699
2013|texmf-dist|fonts|tfm/public/cm|cmti10.tfm|10.672
2015|texmf-dist|fonts|tfm/public/cm|cmr12.tfm|10.645
2011|texmf-dist|tex|latex/graphics|trig.sty|10.634
2011|texmf-dist|tex|latex/graphics|graphics.sty|10.625
2010|texmf-dist|tex|latex/graphics|keyval.sty|10.603
2011|texmf-dist|fonts|tfm/public/cm|cmbx10.tfm|10.601
2016|texmf-dist|fonts|tfm/public/amsfonts/symbols|msbm10.tfm|10.521
2016|texmf-dist|fonts|tfm/public/amsfonts/symbols|msam10.tfm|10.508
2011|texmf-dist|fonts|tfm/public/amsfonts/symbols|msbm5.tfm|10.494
2013|texmf-dist|fonts|tfm/public/cm|cmbx12.tfm|10.491
2011|texmf-dist|fonts|tfm/public/amsfonts/symbols|msam5.tfm|10.481
2011|texmf-dist|fonts|tfm/public/amsfonts/cmextra|cmex8.tfm|10.453
2014|texmf-dist|fonts|tfm/public/cm|cmti10.tfm|10.453
2012|texmf-dist|fonts|tfm/public/amsfonts/cmextra|cmex7.tfm|10.448
2014|texmf-dist|tex|latex/base|article.cls|10.399
2016|texmf-dist|tex|latex/amsfonts|umsa.fd|10.399
2010|texmf-dist|tex|latex/graphics|trig.sty|10.388
2010|texmf-dist|tex|latex/graphics|graphics.sty|10.379
2012|texmf-dist|fonts|tfm/public/cm|cmr12.tfm|10.376
2016|texmf-dist|fonts|tfm/public/amsfonts/symbols|msbm7.tfm|10.356
2016|texmf-dist|fonts|tfm/public/amsfonts/symbols|msam7.tfm|10.350
2011|texmf-dist|tex|latex/graphics|graphicx.sty|10.350
2012|texmf-dist|tex|latex/graphics|trig.sty|10.338
2016|texmf-dist|tex|latex/amsfonts|umsb.fd|10.334
2012|texmf-dist|tex|latex/graphics|graphics.sty|10.330
2012|texmf-dist|tex|latex/amsmath|amsgen.sty|10.330
2013|texmf-dist|fonts|tfm/public/cm|cmsy10.tfm|10.282
2012|texmf-dist|tex|latex/amsmath|amsbsy.sty|10.278
2012|texmf-dist|tex|latex/amsmath|amstext.sty|10.267
2012|texmf-dist|tex|latex/amsmath|amsopn.sty|10.246
2012|texmf-dist|tex|latex/amsmath|amsmath.sty|10.243
2010|texmf-dist|tex|latex/amsfonts|amssymb.sty|10.239
2010|texmf-dist|fonts|tfm/public/amsfonts/cmextra|cmex7.tfm|10.235
2016|texmf-dist|tex|latex/amsmath|amsgen.sty|10.182
2015|texmf-dist|fonts|tfm/public/cm|cmti10.tfm|10.167
2016|texmf-dist|tex|latex/amsfonts|amssymb.sty|10.152
2016|texmf-dist|tex|latex/amsmath|amstext.sty|10.148
2015|texmf-dist|tex|latex/latexconfig|graphics.cfg|10.148
2016|texmf-dist|tex|latex/amsmath|amsbsy.sty|10.142
2016|texmf-dist|tex|latex/amsmath|amsopn.sty|10.127
2016|texmf-dist|tex|latex/amsmath|amsmath.sty|10.125
2016|texmf-dist|fonts|tfm/public/cm|cmr6.tfm|10.111
2016|texmf-dist|fonts|tfm/public/cm|cmmi6.tfm|10.106
2010|texmf-dist|fonts|tfm/public/cm|cmbx10.tfm|10.100
2012|texmf-dist|tex|latex/graphics|graphicx.sty|10.095
2016|texmf-dist|fonts|tfm/public/cm|cmsy6.tfm|10.074
2010|texmf-dist|tex|latex/graphics|graphicx.sty|10.065
2016|texmf-dist|fonts|tfm/public/cm|cmr8.tfm|10.055
2016|texmf-dist|tex|latex/graphics|keyval.sty|9.957
2010|texmf-dist|tex|latex/amsmath|amsgen.sty|9.944
2012|texmf-dist|fonts|tfm/public/amsfonts/symbols|msbm5.tfm|9.944
2012|texmf-dist|fonts|tfm/public/amsfonts/symbols|msam5.tfm|9.936
2016|texmf-dist|fonts|tfm/public/cm|cmmi8.tfm|9.928
2016|texmf-dist|fonts|tfm/public/cm|cmsy8.tfm|9.903
2010|texmf-dist|tex|latex/amsmath|amsbsy.sty|9.894
2010|texmf-dist|tex|latex/amsmath|amstext.sty|9.888
2010|texmf-dist|tex|latex/amsmath|amsopn.sty|9.865
2010|texmf-dist|tex|latex/amsmath|amsmath.sty|9.861
2016|texmf-dist|fonts|tfm/public/amsfonts/symbols|msbm5.tfm|9.800
2016|texmf-dist|fonts|tfm/public/amsfonts/symbols|msam5.tfm|9.794
2014|texmf-dist|fonts|tfm/public/cm|cmsy10.tfm|9.793
2012|texmf-dist|fonts|tfm/public/cm|cmbx10.tfm|9.784
2010|texmf-dist|fonts|tfm/public/cm|cmbx12.tfm|9.771
2012|texmf-dist|fonts|tfm/public/amsfonts/cmextra|cmex8.tfm|9.767
2013|texmf-dist|fonts|tfm/public/cm|cmex10.tfm|9.766
2013|texmf-dist|tex|latex/base|article.cls|9.725
2015|texmf-dist|tex|latex/base|article.cls|9.695
2011|texmf-dist|fonts|tfm/public/cm|cmbx12.tfm|9.618
2010|texmf-dist|fonts|tfm/public/amsfonts/symbols|msbm5.tfm|9.607
2010|texmf-dist|fonts|tfm/public/amsfonts/symbols|msam5.tfm|9.595
2010|texmf-dist|fonts|tfm/public/cm|cmsy10.tfm|9.582
2016|texmf-dist|fonts|tfm/public/amsfonts/cmextra|cmex7.tfm|9.573
2010|texmf-dist|fonts|tfm/public/amsfonts/cmextra|cmex8.tfm|9.573
2011|texmf-dist|fonts|tfm/public/cm|cmsy10.tfm|9.519
2011|texmf-dist|fonts|tfm/public/cm|cmti10.tfm|9.444
2016|texmf-dist|tex|latex/graphics|trig.sty|9.437
2015|texmf-dist|fonts|tfm/public/cm|cmsy10.tfm|9.437
2016|texmf-dist|tex|latex/graphics|graphics.sty|9.432
2011|texmf-dist|tex|latex/latexconfig|graphics.cfg|9.421
2016|texmf-dist|tex|latex/graphics|graphicx.sty|9.327
2014|texmf-dist|fonts|tfm/public/cm|cmex10.tfm|9.300
2016|texmf-dist|fonts|tfm/public/amsfonts/cmextra|cmex8.tfm|9.244
2012|texmf-dist|fonts|tfm/public/cm|cmbx12.tfm|9.015
2015|texmf-dist|fonts|tfm/public/cm|cmex10.tfm|8.989
2013|texmf-dist|fonts|tfm/public/cm|cmmi12.tfm|8.977
2010|texmf-dist|fonts|tfm/public/cm|cmti10.tfm|8.948
2010|texmf-dist|tex|latex/latexconfig|graphics.cfg|8.940
2013|texmf-dist|tex|latex/graphics|dvips.def|8.919
2014|texmf-dist|fonts|tfm/public/cm|cmbx12.tfm|8.837
2011|texmf-dist|fonts|tfm/public/cm|cmex10.tfm|8.781
2012|texmf-dist|fonts|tfm/public/cm|cmsy10.tfm|8.731
2012|texmf-dist|tex|latex/latexconfig|graphics.cfg|8.724
2016|texmf-dist|tex|latex/latexconfig|graphics.cfg|8.714
2014|texmf-dist|tex|latex/graphics|dvips.def|8.709
2012|texmf-dist|fonts|tfm/public/cm|cmti10.tfm|8.672
2010|texmf-dist|fonts|tfm/public/cm|cmmi12.tfm|8.664
2016|texmf-var|web2c|pdftex|latex.fmt|8.592
2011|texmf-dist|tex|latex/base|article.cls|8.543
2016|texmf-dist|fonts|tfm/public/cm|cmr12.tfm|8.516
2014|texmf-dist|fonts|tfm/public/cm|cmmi12.tfm|8.477
2016|texmf-dist|fonts|tfm/public/cm|cmbx10.tfm|8.474
2010|texmf-dist|tex|latex/base|article.cls|8.456
2011|texmf-dist|fonts|tfm/public/cm|cmmi12.tfm|8.444
2010|texmf-dist|fonts|tfm/public/cm|cmex10.tfm|8.353
2011|texmf-dist|tex|latex/graphics|dvips.def|8.255
2012|texmf-dist|fonts|tfm/public/cm|cmex10.tfm|8.148
2015|texmf-dist|tex|latex/graphics|dvips.def|8.053
2016|texmf-dist|fonts|tfm/public/cm|cmti10.tfm|7.996
2015|texmf-dist|fonts|tfm/public/cm|cmbx12.tfm|7.953
2015|texmf-dist|fonts|tfm/public/cm|cmmi12.tfm|7.945
2010|texmf-dist|tex|latex/graphics|dvips.def|7.729
2012|texmf-dist|fonts|tfm/public/cm|cmmi12.tfm|7.649
2016|texmf-dist|tex|latex/base|article.cls|7.434
2012|texmf-dist|tex|latex/graphics|dvips.def|7.354
2012|texmf-dist|tex|latex/base|article.cls|7.333
2014|texmf-dist|tex|latex/natbib|natbib.sty|7.153
2016|texmf-dist|fonts|tfm/public/cm|cmsy10.tfm|7.080
2013|texmf-dist|fonts|tfm/public/cm|cmbx8.tfm|7.019
2016|texmf-dist|fonts|tfm/public/cm|cmex10.tfm|6.786
2015|texmf-dist|tex|latex/natbib|natbib.sty|6.623
2013|texmf-dist|fonts|tfm/public/cm|cmr17.tfm|6.568
2016|texmf-dist|tex|latex/graphics|dvips.def|6.496
2013|texmf-dist|fonts|tfm/public/cm|cmr9.tfm|6.433
2011|texmf-dist|fonts|tfm/public/cm|cmr17.tfm|6.424
2015|texmf-dist|tex|latex/latexconfig|color.cfg|6.421
2010|texmf-dist|fonts|tfm/public/cm|cmr17.tfm|6.384
2015|texmf-dist|tex|latex/oberdiek|kvoptions.sty|6.373
2013|texmf-dist|fonts|tfm/public/cm|cmr10.tfm|6.346
2014|texmf-dist|fonts|tfm/public/cm|cmbx8.tfm|6.278
2014|texmf-dist|tex|generic/oberdiek|ifpdf.sty|6.235
2016|texmf-dist|fonts|tfm/public/cm|cmbx12.tfm|6.167
2011|texmf-dist|fonts|tfm/public/cm|cmbx8.tfm|6.149
2010|texmf-dist|fonts|tfm/public/cm|cmr10.tfm|6.140
2015|texmf-dist|fonts|tfm/public/cm|cmbx8.tfm|6.127
2011|texmf-dist|fonts|tfm/public/cm|cmr10.tfm|6.064
2014|texmf-dist|tex|latex/latexconfig|color.cfg|6.042
2016|texmf-dist|fonts|tfm/public/cm|cmmi12.tfm|6.024
2013|texmf-dist|tex|latex/natbib|natbib.sty|6.009
2014|texmf-dist|fonts|tfm/public/cm|cmr17.tfm|6.001
2011|texmf-dist|fonts|tfm/public/cm|cmr9.tfm|5.977
2016|texmf-dist|tex|latex/oberdiek|kvoptions.sty|5.960
2016|texmf-dist|tex|latex/latexconfig|color.cfg|5.955
2013|texmf-dist|fonts|tfm/public/cm|cmbx6.tfm|5.913
2014|texmf-dist|fonts|tfm/public/cm|cmr10.tfm|5.898
2010|texmf-dist|fonts|tfm/public/cm|cmbx8.tfm|5.882
2014|texmf-dist|tex|latex/oberdiek|kvoptions.sty|5.880
2012|texmf-dist|fonts|tfm/public/cm|cmbx8.tfm|5.818
2013|texmf-dist|fonts|tfm/public/cm|cmbx5.tfm|5.810
2016|texmf-dist|tex|latex/natbib|natbib.sty|5.778
2015|texmf-dist|fonts|tfm/public/cm|cmr10.tfm|5.767
2015|texmf-dist|tex|generic/ifxetex|ifxetex.sty|5.727
2014|texmf-dist|tex|generic/oberdiek|infwarerr.sty|5.706
2014|texmf-dist|tex|generic/oberdiek|ltxcmds.sty|5.693
2014|texmf-dist|fonts|tfm/public/cm|cmbx6.tfm|5.670
2010|texmf-dist|fonts|tfm/public/cm|cmr9.tfm|5.660
2014|texmf-dist|fonts|tfm/public/cm|cmr9.tfm|5.647
2012|texmf-dist|fonts|tfm/public/cm|cmr10.tfm|5.645
2012|texmf-dist|fonts|tfm/public/cm|cmr17.tfm|5.636
2015|texmf-dist|tex|generic/oberdiek|ifpdf.sty|5.630
2015|texmf-dist|tex|latex/url|url.sty|5.560
2011|texmf-dist|fonts|tfm/public/cm|cmbx6.tfm|5.558
2015|texmf-dist|fonts|tfm/public/cm|cmr9.tfm|5.539
2014|texmf-dist|tex|generic/oberdiek|ifluatex.sty|5.536
2010|texmf-dist|fonts|tfm/public/cm|cmbx6.tfm|5.535
2014|texmf-dist|tex|generic/oberdiek|etexcmds.sty|5.534
2012|texmf-dist|fonts|tfm/public/cm|cmr9.tfm|5.526
2014|texmf-dist|tex|generic/oberdiek|pdftexcmds.sty|5.522
2014|texmf-dist|tex|generic/oberdiek|kvsetkeys.sty|5.515
2015|texmf-dist|fonts|tfm/public/cm|cmti8.tfm|5.511
2014|texmf-dist|fonts|tfm/public/cm|cmti8.tfm|5.504
2013|texmf-dist|tex|generic/oberdiek|ifpdf.sty|5.478
2015|texmf-dist|fonts|tfm/public/cm|cmr17.tfm|5.462
2013|texmf-dist|fonts|tfm/public/cm|cmbx7.tfm|5.440
2013|texmf-dist|fonts|tfm/public/cm|cmti8.tfm|5.439
2015|texmf-dist|fonts|tfm/public/cm|cmbx6.tfm|5.398
2013|texmf-dist|tex|latex/latexconfig|color.cfg|5.375
2016|texmf-dist|tex|generic/ifxetex|ifxetex.sty|5.346
2014|texmf-dist|fonts|tfm/public/cm|cmti7.tfm|5.335
2014|texmf-dist|tex|latex/psnfss|upsy.fd|5.315
2014|texmf-dist|tex|latex/psnfss|upzd.fd|5.314
2014|texmf-dist|tex|latex/psnfss|pifont.sty|5.312
2013|texmf-dist|tex|latex/oberdiek|kvoptions.sty|5.305
2014|texmf-dist|fonts|tfm/public/cm|cmbx5.tfm|5.297
2015|texmf-dist|tex|latex/graphics|color.sty|5.164
2015|texmf-dist|fonts|tfm/public/cm|cmti7.tfm|5.163
2016|texmf-dist|tex|latex/url|url.sty|5.157
2014|texmf-dist|tex|generic/oberdiek|ifvtex.sty|5.151
2015|texmf-dist|fonts|tfm/public/cm|cmbx5.tfm|5.144
2014|texmf-dist|tex|latex/url|url.sty|5.114
2013|texmf-dist|fonts|tfm/public/cm|cmti12.tfm|5.111
2013|texmf-dist|tex|generic/oberdiek|infwarerr.sty|5.110
2013|texmf-dist|fonts|tfm/public/cm|cmmi10.tfm|5.110
2013|texmf-dist|tex|generic/oberdiek|ltxcmds.sty|5.092
2013|texmf-dist|fonts|tfm/public/cm|cmsy9.tfm|5.066
2010|texmf-dist|fonts|tfm/public/cm|cmti12.tfm|5.056
2012|texmf-dist|fonts|tfm/public/cm|cmbx6.tfm|5.050
2011|texmf-dist|fonts|tfm/public/cm|cmbx5.tfm|5.036
2016|texmf-dist|fonts|tfm/public/cm|cmbx8.tfm|5.035
2013|texmf-dist|fonts|tfm/public/cm|cmmi9.tfm|5.035
2010|texmf-dist|fonts|tfm/public/cm|cmmi10.tfm|5.024
2014|texmf-dist|tex|latex/graphics|color.sty|5.011
2013|texmf-dist|tex|generic/oberdiek|ifluatex.sty|4.986
2013|texmf-dist|tex|generic/oberdiek|etexcmds.sty|4.982
2013|texmf-dist|tex|generic/oberdiek|pdftexcmds.sty|4.977
2016|texmf-dist|tex|generic/oberdiek|ifpdf.sty|4.977
2013|texmf-dist|tex|generic/oberdiek|kvsetkeys.sty|4.967
2012|texmf-dist|fonts|tfm/public/cm|cmbx5.tfm|4.966
2014|texmf-dist|fonts|tfm/public/cm|cmbx7.tfm|4.939
2014|texmf-dist|fonts|tfm/public/cm|cmti12.tfm|4.914
2013|texmf-dist|tex|latex/graphics|color.sty|4.911
2011|texmf-dist|fonts|tfm/public/cm|cmmi10.tfm|4.899
2014|texmf-dist|fonts|tfm/public/cm|cmmi10.tfm|4.872
2011|texmf-dist|fonts|tfm/public/cm|cmti12.tfm|4.868
2015|texmf-dist|fonts|tfm/adobe/zapfding|pzdr.tfm|4.863
2013|texmf-dist|fonts|tfm/public/cm|cmti7.tfm|4.861
2011|texmf-dist|tex|latex/natbib|natbib.sty|4.854
2015|texmf-dist|fonts|tfm/adobe/symbol|psyr.tfm|4.852
2014|texmf-var|tex|latex/elsarticle|elsarticle.cls|4.846
2015|texmf-dist|tex|latex/psnfss|upsy.fd|4.820
2015|texmf-dist|tex|latex/psnfss|upzd.fd|4.816
2015|texmf-dist|tex|latex/psnfss|pifont.sty|4.816
2015|texmf-dist|fonts|tfm/public/cm|cmmi10.tfm|4.811
2012|texmf-dist|tex|latex/natbib|natbib.sty|4.785
2015|texmf-dist|fonts|tfm/public/cm|cmbx7.tfm|4.782
2011|texmf-dist|fonts|tfm/public/cm|cmbx7.tfm|4.776
2014|texmf-dist|fonts|tfm/adobe/ly1|psyr.tfm|4.776
2013|texmf-dist|tex|latex/url|url.sty|4.750
2014|texmf-dist|fonts|tfm/adobe/ly1|pzdr.tfm|4.742
2010|texmf-dist|fonts|tfm/public/cm|cmbx5.tfm|4.732
2011|texmf-dist|fonts|tfm/public/cm|cmsy9.tfm|4.721
2011|texmf-dist|fonts|tfm/public/cm|cmmi9.tfm|4.700
2012|texmf-dist|fonts|tfm/public/cm|cmbx7.tfm|4.681
2016|texmf-dist|fonts|tfm/public/cm|cmti8.tfm|4.651
2013|texmf-dist|fonts|tfm/public/cm|cmcsc10.tfm|4.610
2015|texmf-dist|tex|latex/amscls|amsthm.sty|4.606
2016|texmf-dist|tex|latex/graphics|color.sty|4.595
2016|texmf-dist|fonts|tfm/public/cm|cmbx6.tfm|4.558
2012|texmf-dist|fonts|tfm/public/cm|cmmi10.tfm|4.547
2014|texmf-dist|tex|latex/base|size10.clo|4.546
